Nanoparticle,Type: Organic (O)/inorganic (I),coat,Diameter (nm),Concentration μM,Zeta potential (mV),Cells,Cell line (L)/primary cells (P),Animal/ Human,Cell morphology,"Cell age: embryonic (E), Adult (A)",Cell-organ/tissue source,Exposure time (h),Test,Test indicator,Biochemical metric,% Cell viability,Interference checked (Y/N),Colloidal stability checked (Y/N),Positive control (Y/N),toxicity class,toxicity class encoded
0.21875,0,0.739130435,0.020188285,1.65E-07,,0.475,0,0.571428571,0.285714286,0,0.068965517,0.068656716,0.590909091,0.875,0.6,0.354719661,0,0,0,non toxic,0
0.21875,0,0.739130435,0.020188285,3.30E-07,,0.475,0,0.571428571,0.285714286,0,0.068965517,0.068656716,0.590909091,0.875,0.6,0.349192557,0,0,0,non toxic,0
0.21875,0,0.739130435,0.020188285,6.61E-07,,0.475,0,0.571428571,0.285714286,0,0.068965517,0.068656716,0.590909091,0.875,0.6,0.353141733,0,0,0,non toxic,0
0.21875,0,0.739130435,0.020188285,1.32E-06,,0.475,0,0.571428571,0.285714286,0,0.068965517,0.068656716,0.590909091,0.875,0.6,0.342875,0,0,0,non toxic,0
0.21875,0,0.739130435,0.020188285,2.64E-06,,0.475,0,0.571428571,0.285714286,0,0.068965517,0.068656716,0.590909091,0.875,0.6,0.337344963,0,0,0,non toxic,0
0.875,0,0.739130435,0.082217573,8.72E-11,0.355555556,0.7375,0,0.285714286,0.142857143,0,0.586206897,0.068656716,1,0.875,0.6,0.32345264,0,0,0,non toxic,0
0.875,0,0.739130435,0.082217573,1.74E-10,0.355555556,0.7375,0,0.285714286,0.142857143,0,0.586206897,0.068656716,1,0.875,0.6,0.29440591,0,0,0,non toxic,0
0.875,0,0.739130435,0.082217573,3.49E-10,0.355555556,0.7375,0,0.285714286,0.142857143,0,0.586206897,0.068656716,1,0.875,0.6,0.24392681,0,0,0,non toxic,0
0.875,0,0.739130435,0.082217573,5.23E-10,0.355555556,0.7375,0,0.285714286,0.142857143,0,0.586206897,0.068656716,1,0.875,0.6,0.222035646,0,0,0,toxic,1
0.40625,0,0.739130435,0.053880753,2.31E-09,0.061703704,0.0125,0,0.285714286,0.142857143,0,0.517241379,0.068656716,0.590909091,0.875,0.6,0.287863083,0,0,0,non toxic,0
0.40625,0,0.739130435,0.053880753,5.79E-09,0.061703704,0.0125,0,0.285714286,0.142857143,0,0.517241379,0.068656716,0.590909091,0.875,0.6,0.26946338,0,0,0,non toxic,0
0.40625,0,0.739130435,0.053880753,1.16E-08,0.061703704,0.0125,0,0.285714286,0.142857143,0,0.517241379,0.068656716,0.590909091,0.875,0.6,0.230883381,0,0,0,toxic,1
0.40625,0,0.739130435,0.053880753,2.31E-09,0.061703704,0.0125,0,0.285714286,0.142857143,0,0.517241379,0.068656716,0.727272727,0.9375,0.8,0.309701569,0,0,0,non toxic,0
0.40625,0,0.739130435,0.053880753,5.79E-09,0.061703704,0.0125,0,0.285714286,0.142857143,0,0.517241379,0.068656716,0.727272727,0.9375,0.8,0.275108649,0,0,0,non toxic,0
0.40625,0,0.739130435,0.053880753,1.16E-08,0.061703704,0.0125,0,0.285714286,0.142857143,0,0.517241379,0.068656716,0.727272727,0.9375,0.8,0.224876471,0,0,0,toxic,1
0.40625,0,0.739130435,0.248953975,2.45E-15,,0.2875,1,0.285714286,0,0,0.413793103,0.032835821,0.590909091,0.875,0.6,0.340243395,0,1,0,non toxic,0
0.40625,0,0.739130435,0.248953975,2.45E-14,,0.2875,1,0.285714286,0,0,0.413793103,0.032835821,0.590909091,0.875,0.6,0.335397277,0,1,0,non toxic,0
0.40625,0,0.739130435,0.248953975,2.45E-13,,0.2875,1,0.285714286,0,0,0.413793103,0.032835821,0.590909091,0.875,0.6,0.335397277,0,1,0,non toxic,0
0.40625,0,0.739130435,0.248953975,2.45E-12,,0.2875,1,0.285714286,0,0,0.413793103,0.032835821,0.590909091,0.875,0.6,0.340243395,0,1,0,non toxic,0
0.40625,0,0.739130435,0.248953975,1.23E-11,,0.2875,1,0.285714286,0,0,0.413793103,0.032835821,0.590909091,0.875,0.6,0.308743619,0,1,0,non toxic,0
0.40625,0,0.739130435,0.248953975,2.45E-11,,0.2875,1,0.285714286,0,0,0.413793103,0.032835821,0.590909091,0.875,0.6,0.267551609,0,1,0,non toxic,0
0.40625,0,0.739130435,0.248953975,4.91E-11,,0.2875,1,0.285714286,0,0,0.413793103,0.032835821,0.590909091,0.875,0.6,0.226359592,0,1,0,toxic,1
0.40625,0,0.739130435,0.248953975,1.23E-10,,0.2875,1,0.285714286,0,0,0.413793103,0.032835821,0.590909091,0.875,0.6,0.163360033,0,1,0,toxic,1
0.40625,0,0.739130435,0.248953975,2.45E-10,,0.2875,1,0.285714286,0,0,0.413793103,0.032835821,0.590909091,0.875,0.6,0.158513913,0,1,0,toxic,1
0.40625,0,0.739130435,0.248953975,2.45E-15,,0.2875,1,0.285714286,0,0,0.413793103,0.068656716,0.590909091,0.875,0.6,0.335397277,0,1,0,non toxic,0
0.40625,0,0.739130435,0.248953975,2.45E-14,,0.2875,1,0.285714286,0,0,0.413793103,0.068656716,0.590909091,0.875,0.6,0.342666464,0,1,0,non toxic,0
0.40625,0,0.739130435,0.248953975,2.45E-13,,0.2875,1,0.285714286,0,0,0.413793103,0.068656716,0.590909091,0.875,0.6,0.332974218,0,1,0,non toxic,0
0.40625,0,0.739130435,0.248953975,2.45E-12,,0.2875,1,0.285714286,0,0,0.413793103,0.068656716,0.590909091,0.875,0.6,0.335397277,0,1,0,non toxic,0
0.40625,0,0.739130435,0.248953975,1.23E-11,,0.2875,1,0.285714286,0,0,0.413793103,0.068656716,0.590909091,0.875,0.6,0.289359149,0,1,0,non toxic,0
0.40625,0,0.739130435,0.248953975,2.45E-11,,0.2875,1,0.285714286,0,0,0.413793103,0.068656716,0.590909091,0.875,0.6,0.22151347,0,1,0,toxic,1
0.40625,0,0.739130435,0.248953975,4.91E-11,,0.2875,1,0.285714286,0,0,0.413793103,0.068656716,0.590909091,0.875,0.6,0.160936972,0,1,0,toxic,1
0.40625,0,0.739130435,0.248953975,1.23E-10,,0.2875,1,0.285714286,0,0,0.413793103,0.068656716,0.590909091,0.875,0.6,0.156090852,0,1,0,toxic,1
0.40625,0,0.739130435,0.248953975,2.45E-10,,0.2875,1,0.285714286,0,0,0.413793103,0.068656716,0.590909091,0.875,0.6,0.156090852,0,1,0,toxic,1
